Num MPI ranks,Num nodes,cpu time used,zone-cycles/cpu_second
4,1,2.956175e+02,3.877374e+08
8,2,2.962232e+02,7.738889e+08
16,4,2.959573e+02,1.549169e+09
32,8,2.959014e+02,3.098922e+09
64,16,2.963705e+02,6.188036e+09
128,32,2.964112e+02,1.237437e+10
256,64,2.992141e+02,2.451691e+10
512,128,3.021821e+02,4.855221e+10
1024,256,3.059069e+02,9.592204e+10
2048,512,3.289480e+02,1.784064e+11
2224,556,3.087010e+02,2.064451e+11
