Num MPI ranks,Num nodes,cpu time used,zone-cycles/cpu_second
256,64,3.063089e+02,7.010843e+09
512,128,3.070397e+02,1.398831e+10
1024,256,3.073872e+02,2.794500e+10
2048,512,3.105482e+02,5.532110e+10
2224,556,3.110855e+02,5.997149e+10
