Num MPI ranks,Num nodes,cpu time used,zone-cycles/cpu_second
256,64,1.664425e+02,3.225565e+09
512,128,1.667195e+02,6.440408e+09
1024,256,1.668253e+02,1.287265e+10
2048,512,1.714521e+02,2.505053e+10
2224,556,1.726173e+02,2.701969e+10
