Num MPI ranks,Num nodes,cpu time used,zone-cycles/cpu_second
1,1,1.221808e+02,1.196010e+08
2,1,1.374240e+02,2.273808e+08
3,1,1.395475e+02,3.403895e+08
4,1,1.405548e+02,4.527486e+08
8,2,1.410067e+02,9.068786e+08
16,4,1.413971e+02,1.810647e+09
32,8,1.415888e+02,3.617341e+09
64,16,1.417967e+02,7.225964e+09
128,32,1.418757e+02,1.444389e+10
256,64,1.420148e+02,2.885947e+10
512,128,1.421550e+02,5.766201e+10
1024,256,1.443783e+02,1.135482e+11
2048,512,1.442971e+02,2.272240e+11
