Num MPI ranks,Num nodes,cpu time used,zone-cycles/cpu_second
256,64,7.111588e+01,2.882300e+10
1024,256,7.125426e+01,1.150681e+11
2048,512,7.397901e+01,2.216600e+11
2224,556,7.223366e+01,2.465250e+11
